username,match,date,unixdate
Kashmir24,90,2012-11-10 17:17:28 -0500,1352585848
reesa64,94,2012-11-10 18:11:17 -0500,1352589077
shellyK7,92,2012-11-10 18:11:22 -0500,1352589082
kaytee333,81,2012-11-10 18:11:27 -0500,1352589087
melsmeli,92,2012-11-10 18:11:33 -0500,1352589093
djlewi07,92,2012-11-10 18:11:38 -0500,1352589098
djlewi07,92,2012-11-10 18:11:44 -0500,1352589104
Nikki_54321,94,2012-11-10 18:11:50 -0500,1352589110
ReneeRuns,90,2012-11-10 18:11:55 -0500,1352589115
artsychic77,85,2012-11-10 18:12:01 -0500,1352589121
TuftsAlumES,91,2012-11-10 18:12:06 -0500,1352589126
Lauren528,92,2012-11-10 18:12:11 -0500,1352589131
Missy1019,93,2012-11-10 18:12:17 -0500,1352589137
bostongirl845,94,2012-11-10 18:12:22 -0500,1352589142
masticatrix,90,2012-11-10 18:12:28 -0500,1352589148
FlipsAnywhere,85,2012-11-10 18:12:34 -0500,1352589154
Not_a_Blueberry,95,2012-11-10 18:12:39 -0500,1352589159
Viridian7,82,2012-11-10 18:12:45 -0500,1352589165
justacreepa,87,2012-11-10 18:12:50 -0500,1352589170
beeing-me,85,2012-11-10 18:12:56 -0500,1352589176
Christine6369,87,2012-11-10 18:13:01 -0500,1352589181
MaryAurora,94,2012-11-10 18:13:07 -0500,1352589187
MaryAurora,94,2012-11-10 18:13:12 -0500,1352589192
catattackz,87,2012-11-10 18:13:18 -0500,1352589198
schmeadeinabox,92,2012-11-10 18:13:23 -0500,1352589203
redsocks4you,89,2012-11-10 18:13:29 -0500,1352589209
InnerOctopus,86,2012-11-10 18:13:34 -0500,1352589214
whateverocean,85,2012-11-10 18:13:40 -0500,1352589220
ADudek,88,2012-11-10 18:13:45 -0500,1352589225
littlegreyhonda,91,2012-11-10 18:13:51 -0500,1352589231
mngpack,84,2012-11-10 18:13:56 -0500,1352589236
Lauraconteuse,95,2012-11-10 18:14:02 -0500,1352589242
cannu,91,2012-11-10 18:14:07 -0500,1352589247
jetergirl123,93,2012-11-10 18:14:13 -0500,1352589253
sch33232,91,2012-11-10 18:14:18 -0500,1352589258
wunderdome,95,2012-11-10 18:14:24 -0500,1352589264
exopotamie,91,2012-11-10 18:14:29 -0500,1352589269
Amairis,92,2012-11-10 18:14:35 -0500,1352589275
kab130,90,2012-11-10 18:14:40 -0500,1352589280
isabelleg0530,93,2012-11-10 18:14:46 -0500,1352589286
random_rules_,93,2012-11-10 18:14:51 -0500,1352589291
sassy_674,90,2012-11-10 18:14:57 -0500,1352589297
Char_F,85,2012-11-10 18:15:02 -0500,1352589302
Jtabs_cat,88,2012-11-10 18:15:08 -0500,1352589308
Kayla3361,93,2012-11-10 18:15:13 -0500,1352589313
ImagineIf26,81,2012-11-10 18:15:19 -0500,1352589319
Cakepies,91,2012-11-10 18:15:24 -0500,1352589324
Sandmanasaurus,93,2012-11-10 18:15:30 -0500,1352589330
